"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBE2Q2P6",0.190000615320378,0.430638377350425,0.463,0.361,1
"SCO2",0.191016001700473,0.265963847152677,0.132,0.115,1
"RSL1D1",0.194677732342132,1.1609743880152,0.273,0.16,1
"SMS",0.196550240152872,1.39983269471719,0.397,0.286,1
"SUSD6",0.197655582858698,8.00470008293788,0.331,0.174,1
"RPS16",0.199477673934452,0.592151854130788,0.463,0.403,1
"SGCE",0.199484149324567,19.1000649317978,0.19,0.178,1
"TRAP1",0.200458350901439,1.20088433821913,0.231,0.244,1
"PLEKHA2",0.20092067843766,3.79107864279788,0.174,0.055,1
"GALNT12",0.20099237592984,9.48006387365076,0.231,0.044,1
"OCIAD1",0.203158590188471,5.64124786722837,0.463,0.394,1
"MYO6",0.204805927732089,4.17287956657248,0.331,0.209,1
"DDOST",0.204872027414825,0.94506675667476,0.488,0.414,1
"MRFAP1L1",0.205268919157572,2.81636126217677,0.331,0.219,1
"CNOT2",0.206097581462507,0.941285068683028,0.347,0.223,1
"SPNS1",0.206642499871169,0.399180122955952,0.132,0.119,1
"VPS29",0.207035225482239,0.549410731067095,0.355,0.233,1
"HSPB8",0.208718715187457,30.6618837857135,0.107,0.07,1
"KIAA1109",0.20944324211946,0.441772749319297,0.132,0.109,1
"PKM",0.210236942768683,0.790012305838653,0.496,0.42,1
"LATS1",0.210486250798522,1.15954477268211,0.223,0.093,1
"RNF220",0.212800886040723,2.19093043036274,0.248,0.248,1
"FNBP4",0.213276896579111,1.81027739417036,0.264,0.164,1
"M6PR",0.21612850282372,5.00093770960908,0.215,0.221,1
"ZMPSTE24",0.216788856825503,3.452778701874,0.231,0.219,1
"BCL2L13",0.217485172263129,0.879202086821259,0.388,0.32,1
"NOTCH2",0.217913402557785,3.73755870958141,0.223,0.079,1
"VNN2",0.218196922696333,20.9507024086196,0.223,0.03,1
"MRGBP",0.218411469054849,1.93677201466,0.107,0.076,1
"DNAJC12",0.219007460111242,4.2290863290903,0.298,0.356,1
"IARS2",0.219291996800612,18.167867949102,0.281,0.134,1
"KIF1BP",0.219410056977791,0.33965981666729,0.182,0.173,1
"SLC35E2B",0.219841009815092,0.619059262429026,0.165,0.13,1
"DDX50",0.220293470023987,1.34237423459872,0.182,0.193,1
"PDIA3",0.220530413652258,1.92640280549638,0.455,0.425,1
"PPP1R12C",0.221983880477849,0.288204358176057,0.174,0.145,1
"CAPN5",0.222895776249444,12.2559751165525,0.198,0.026,1
"MSH6",0.225704250384183,3.17444372842274,0.132,0.082,1
"APOL1",0.228459238071172,36.2254032848292,0.19,0.024,1
"TAP2",0.228852711167588,0.896467757692045,0.124,0.106,1
"FBXW11",0.229770295934039,0.57928993907154,0.298,0.228,1
"CDC25B",0.229942630192512,9.59767446700332,0.107,0.064,1
"ZNF770",0.230467390748169,2.96354084852028,0.281,0.161,1
"NDUFS2",0.230834510623679,0.530395705422317,0.331,0.339,1
"MIB1",0.232039542570855,1.20052464167211,0.248,0.13,1
"IFNAR2",0.232162460369456,0.435732890646283,0.289,0.13,1
"DVL1",0.232379489959819,0.860700475500588,0.364,0.246,1
"ANP32A",0.232756013429143,2.31511349582035,0.339,0.317,1
"SRP68",0.232944434927003,0.328958165765758,0.339,0.247,1
"KAT2A",0.236911658025655,0.896420834201795,0.116,0.094,1
"SLC4A2",0.237183214372702,0.391906568369295,0.223,0.199,1
"HNRNPH2",0.237197901590138,6.73703977010172,0.306,0.326,1
"CSNK1D",0.239400518955554,1.16622513201663,0.471,0.37,1
"DEXI",0.239592726817565,0.278172464151292,0.289,0.195,1
"SAR1A",0.240281143305169,0.373010867443395,0.24,0.241,1
"HAGH",0.242608306146631,0.698114763437392,0.322,0.307,1
"HDAC5",0.242869512666625,1.89193120740867,0.231,0.244,1
"PIN4",0.2438564168928,5.52500858901261,0.248,0.212,1
"UBE2R2",0.244163530457661,3.46764859108106,0.446,0.351,1
"USO1",0.244186010644025,0.31589878229228,0.38,0.274,1
"NASP",0.244275951324638,3.94133563807377,0.165,0.123,1
"USH1C",0.245642946121336,1.30390985813947,0.174,0.157,1
"AKAP12",0.249365156006473,16.8062863631998,0.124,0.09,1
"RPLP0P2",0.24948686440314,0.913369651706124,0.372,0.241,1
"RRM2B",0.250225594085876,2.53790233312032,0.273,0.183,1
"DHX32",0.250347591372973,3.03741717171691,0.231,0.116,1
"SLC41A3",0.250515409521134,0.546789977670153,0.223,0.185,1
"AASDHPPT",0.251929699452196,19.7780587197023,0.14,0.114,1
"RNF146",0.25295757646325,3.7890884376534,0.264,0.141,1
"C8orf59",0.253380312015804,0.435187562854547,0.331,0.221,1
"MIR210HG",0.25632221160948,2.35894034396125,0.14,0.071,1
"APPBP2",0.256795420871718,2.56813796609696,0.256,0.136,1
"SOS2",0.257440266567261,3.0809167212478,0.24,0.117,1
"NFKBIL1",0.258086235855618,3.80638818143513,0.165,0.147,1
"RABGAP1",0.258967493451772,0.847867181218543,0.174,0.174,1
"ANG",0.259600470070466,2.16350618379846,0.149,0.089,1
"MCOLN1",0.259976074670457,0.707804925555849,0.14,0.114,1
"MRS2",0.26189907692322,0.824337723158004,0.116,0.09,1
"CCPG1",0.261969905322324,7.17193755147878,0.273,0.143,1
"DHDDS",0.262347876282105,0.82288973955003,0.14,0.123,1
"RBM6",0.26252123904157,0.785972164131596,0.174,0.141,1
"SP100",0.263199688270162,3.27415516943782,0.339,0.202,1
"NOL7",0.263736992160261,0.882699076646824,0.331,0.218,1
"PLBD1",0.26382397568419,1.93539073191999,0.107,0.037,1
"HEBP2",0.266841170159016,2.3132763411344,0.421,0.296,1
"ALG5",0.273205680554951,1.69107141911348,0.314,0.238,1
"CCDC28A",0.279763774630679,3.10572877141018,0.231,0.115,1
"CCNH",0.281703091114668,6.16394666214573,0.116,0.084,1
"PPP2R5A",0.28172790872366,1.36625878861945,0.314,0.182,1
"FLYWCH1",0.28371799834767,2.35651828724796,0.157,0.113,1
"SPTLC2",0.284133794909507,0.60564929100658,0.215,0.095,1
"ZDHHC2",0.287282186445932,1.303801037874,0.314,0.21,1
"TIMMDC1",0.289542992478334,2.51687583788003,0.347,0.286,1
"GEM",0.290944093426497,16.6907317278479,0.182,0.073,1
"MAPK1IP1L",0.294398608155523,1.24627918319784,0.347,0.339,1
"TP53",0.295345494285397,1.67229475853312,0.149,0.098,1
"TARDBP",0.29612329900704,1.38902959876992,0.306,0.294,1
"PIGP",0.297236818095608,0.923645472848084,0.281,0.259,1
"AGFG1",0.29772593299835,1.32997389024281,0.298,0.175,1
"PITPNB",0.299067316946697,0.842280311206789,0.19,0.138,1
"PI4KA",0.299196508439748,1.7684306813679,0.149,0.119,1
"CKLF",0.301666887017304,6.09404915121968,0.24,0.221,1
"FNDC4",0.302707438349418,1.04481960139353,0.174,0.123,1
"MAD2L1BP",0.303289451595846,9.47768538404401,0.256,0.121,1
"E4F1",0.305380374909025,1.17211845724459,0.107,0.08,1
"RHOD",0.305957051204565,1.33584251753973,0.24,0.102,1
"UBE2E1",0.30620192322654,1.35587811147409,0.355,0.229,1
"CAAP1",0.30737558893173,5.68970073047316,0.132,0.08,1
"PPCS",0.308402794722983,2.90878485368836,0.281,0.195,1
"SETD2",0.309238516300667,3.85041178122103,0.19,0.163,1
"GTPBP2",0.310340427598903,3.3860837286361,0.256,0.121,1
"FNTB",0.311604190109344,0.795033558375902,0.132,0.09,1
"LARP1B",0.31299558102852,0.928939653509003,0.231,0.119,1
"IRS2",0.313146490943444,18.7062326866715,0.355,0.305,1
"MRPS33",0.314471179421345,0.337889621247188,0.38,0.332,1
"CHMP1A",0.3155050252224,1.33332010411833,0.215,0.198,1
"SETD1A",0.317024174370871,3.83668995398354,0.116,0.071,1
"SSRP1",0.317866238240255,1.32415425182209,0.421,0.349,1
"RNPEPL1",0.319194995507489,0.743336740627172,0.314,0.189,1
"ALG2",0.320094862175031,1.70897443913066,0.289,0.191,1
"CCDC97",0.322505623440693,1.61216392198607,0.132,0.1,1
"MTG1",0.323974092919105,1.19515403109842,0.198,0.154,1
"MGST3",0.324101207624377,0.423585077497413,0.347,0.395,1
"RETSAT",0.324846347069163,15.4365065126636,0.248,0.115,1
"PRRC2C",0.327838080205553,0.583276400420542,0.471,0.383,1
"SMIM5",0.329423206985568,9.9534984464837,0.116,0.087,1
"SPIN1",0.331464572598859,24.3092439412694,0.347,0.258,1
"FOXJ2",0.331787150166549,0.671001374551449,0.124,0.093,1
"FEM1A",0.33443069990783,3.49438118885869,0.165,0.131,1
"MRPL18",0.335906223933215,9.70008049654033,0.331,0.237,1
"EIF3I",0.33943086347639,0.283237012484796,0.397,0.346,1
"LUC7L",0.340357884506794,0.40571582944101,0.157,0.124,1
"RNF10",0.340826700080287,0.348980587088083,0.455,0.375,1
"ZMYND8",0.34091112703788,0.991730580148743,0.339,0.232,1
"CCNB1IP1",0.342207391928371,0.882899945744471,0.174,0.142,1
"KDSR",0.344223771230779,0.810266615910252,0.264,0.161,1
"ARHGEF5",0.34442204640217,5.09987725219468,0.19,0.071,1
"KCTD5",0.345849897315021,5.03690431152543,0.231,0.13,1
"PHRF1",0.347120149320513,1.03859123696126,0.124,0.106,1
"UQCRC2",0.347613885461209,4.83871029073331,0.331,0.317,1
"ANKHD1",0.34768988213811,3.83137297600662,0.289,0.208,1
"SNX27",0.350136952328489,0.616502941997314,0.256,0.166,1
"EIF3C",0.350175125424606,6.57765264400482,0.314,0.204,1
"LYST",0.35048060082536,1.39464776329339,0.107,0.073,1
"LRPPRC",0.350604751599477,0.531318770829518,0.174,0.171,1
"ATF1",0.35110162371738,0.495761536775123,0.14,0.108,1
"RPL3",0.354900144180411,1.21488266062618,0.455,0.419,1
"SARAF",0.355343057946093,2.32803333334877,0.455,0.405,1
"RPN1",0.356770456968949,0.65006195209163,0.471,0.385,1
"SCFD1",0.360335299067099,1.62659744174486,0.281,0.191,1
"SLC30A5",0.360393605436004,1.83520945825641,0.264,0.158,1
"ERC1",0.361346793097955,5.08038689400794,0.174,0.155,1
"POLB",0.363795320162228,17.2817446061587,0.215,0.099,1
"MFAP1",0.364705172566751,2.14273949505802,0.14,0.104,1
"ATF2",0.367276049574752,0.29891554681524,0.256,0.151,1
"SLC52A2",0.367472763208715,0.657352040683358,0.223,0.202,1
"LZTFL1",0.368289819891594,3.83150384410421,0.149,0.064,1
"FAM98A",0.36867413155626,4.54346022220804,0.24,0.146,1
"SEP15",0.369364549263747,1.00208383804151,0.455,0.392,1
"EMC4",0.3693941558124,1.16688796289885,0.488,0.383,1
"PPP2CA",0.37166842022408,3.75308457431091,0.38,0.321,1
"RCC2",0.373414575956815,6.81993196174118,0.256,0.15,1
"CASC3",0.373573571227828,3.73900700406648,0.322,0.234,1
"TJP3",0.374598088547571,7.07407756537046,0.207,0.036,1
"GAL3ST1",0.376482549362491,22.4445670666122,0.116,0.049,1
"RASSF7",0.376522496883741,1.04154334439901,0.256,0.109,1
"ZBTB4",0.378282707437302,0.464415061111894,0.314,0.319,1
"AHNAK2",0.378863876607966,5.59237135923401,0.157,0.016,1
"TCN1",0.380469968217494,25.1818014425354,0.174,0.014,1
"PPP4R2",0.381355102736707,1.61342073570676,0.289,0.185,1
"PPP2R5D",0.382806219183919,3.22636042009843,0.107,0.069,1
"SUMO3",0.385799689867711,0.970320514853901,0.397,0.372,1
"BCL6",0.387017312388736,1.85735439616898,0.182,0.125,1
"DPP8",0.389490181725607,1.68832941827709,0.281,0.223,1
"SEC23IP",0.390847702200835,1.22027718992479,0.165,0.103,1
"HDDC2",0.396182839229351,1.75049198357092,0.24,0.238,1
"SNHG5",0.398525557967719,0.949616445267685,0.339,0.361,1
"SPEN",0.400482442076587,1.8095221804053,0.198,0.161,1
"WBSCR16",0.40431964258656,0.948622129421496,0.19,0.167,1
"SFXN1",0.405248428369272,0.879639485815886,0.182,0.162,1
"GALNT5",0.406209856763078,53.1543194777016,0.149,0.002,1
"NEK6",0.406931824503682,9.65518593544369,0.107,0.047,1
"ECHS1",0.408535443231764,0.991690930398285,0.388,0.369,1
"PACS2",0.409795802061922,1.05857017496043,0.198,0.15,1
"CDC42BPB",0.411026882158543,3.44015143423469,0.364,0.263,1
"CLDN10",0.41172229960647,78.7795178520707,0.24,0.071,1
"OXA1L",0.411901540085457,0.604733099638862,0.298,0.25,1
"ACAA1",0.412144109221145,0.59777778015075,0.314,0.199,1
"GJB3",0.412217947905642,46.0843479299126,0.124,0.007,1
"BCKDK",0.412713956697812,1.44030842577774,0.306,0.268,1
"ACYP2",0.413717592708678,1.85118023310418,0.132,0.089,1
"SMIM12",0.414902686948336,0.744919847499679,0.223,0.205,1
"RPL37A",0.419034330852757,1.14450061341865,0.471,0.44,1
"HIAT1",0.419727050119804,0.647253626715878,0.182,0.162,1
"DNAJB6",0.420025667123107,2.42128753396986,0.413,0.328,1
"SCYL2",0.424004786956693,2.84534452451653,0.198,0.084,1
"SMAGP",0.424691582474422,0.525800910375517,0.207,0.064,1
"KEAP1",0.425572493563103,7.5852696207009,0.322,0.231,1
"RASEF",0.42647598773307,0.410384705567335,0.198,0.061,1
"CCDC71",0.427315951540274,0.801099404123253,0.107,0.063,1
"TMBIM4",0.429268811011432,2.0383042303577,0.421,0.325,1
"STK39",0.432397629158766,6.51417310217829,0.24,0.1,1
"ACIN1",0.43246272971339,1.63401727416637,0.264,0.239,1
"OXSM",0.433266065892284,4.14153209426004,0.107,0.054,1
"HIVEP2",0.434929762550761,7.91997737187321,0.19,0.142,1
"EIF1B",0.435550516001893,3.49500432408065,0.43,0.357,1
"SGK223",0.437164664023352,26.7046412678329,0.19,0.043,1
"DGAT1",0.438530650547981,1.42514984302645,0.14,0.111,1
"SEC31A",0.43878226295144,1.54513151853382,0.38,0.328,1
"MAN1A2",0.442126641725872,2.4185099583118,0.421,0.377,1
"SMIM22",0.442302483863253,2.82647152003414,0.397,0.272,1
"MYBBP1A",0.443193305959536,0.54552030274194,0.107,0.05,1
"TUT1",0.445110397619242,2.08800309182531,0.182,0.084,1
"CUEDC1",0.445375196994295,1.07167898411825,0.24,0.181,1
"YEATS2",0.446015490829195,5.56309216014309,0.116,0.074,1
"NDRG2",0.448094534947964,50.5560165803517,0.165,0.111,1
"ORAI3",0.449957053064048,0.989707979496783,0.24,0.142,1
"PIGA",0.450234585840548,3.79440874308182,0.165,0.056,1
"ERLIN1",0.451078889497892,0.930707629263967,0.231,0.147,1
"NDNL2",0.452803595278645,1.03699274764056,0.207,0.193,1
"POLR2E",0.453070982229665,0.36045486502906,0.397,0.387,1
"FLOT2",0.453494518863629,0.973631304602972,0.248,0.212,1
"KRT15",0.453996363127082,252.560620654663,0.174,0.009,1
"CYTH2",0.454174878312743,3.13251675843592,0.322,0.243,1
"SLC30A7",0.457596497973798,4.1402481381156,0.231,0.131,1
"ISG20L2",0.461505278567336,1.43414774389522,0.14,0.111,1
"COX14",0.461899439302179,1.58994482098353,0.421,0.429,1
"PIGF",0.464822006287058,0.717731866866319,0.157,0.114,1
"REL",0.465953158594079,7.68709021980353,0.124,0.077,1
"TMPRSS3",0.466032395129356,0.396212768358211,0.132,0.008,1
"NUCB2",0.466870518220654,5.23021860020583,0.331,0.358,1
"CORO1B",0.466995173521093,1.50847280771696,0.405,0.333,1
"P4HA1",0.467187857781211,2.04673067300618,0.256,0.203,1
"AIMP1",0.468549251923929,4.31533323699414,0.231,0.194,1
"RB1CC1",0.46895809634086,2.57275829125937,0.231,0.12,1
"TCF3",0.472247363452498,1.22803422711294,0.157,0.112,1
"ZBTB21",0.474931368400982,4.87911964913074,0.124,0.065,1
"TOX4",0.475183068324418,0.931056589863132,0.306,0.238,1
"CLTA",0.476912599996485,0.630783752359417,0.438,0.421,1
"DUS1L",0.47770405556423,4.16451122434568,0.298,0.264,1
"PRPF31",0.479024748391132,0.37115397156263,0.207,0.166,1
"INIP",0.4804740540099,3.96189072564032,0.124,0.069,1
"KDM3A",0.481522261147589,3.08416203620231,0.215,0.106,1
"TATDN2",0.481660578463396,3.10994076720763,0.14,0.089,1
"DDX3X",0.484512419296716,0.548787314056928,0.322,0.241,1
"CIRBP",0.485229705099122,2.08211765226149,0.446,0.431,1
"RPN2",0.491617770832729,0.547342232657094,0.372,0.322,1
"TMEM200A",0.492235720348444,21.1673781552896,0.132,0.091,1
"CDH6",0.492562353125052,9.2246362642499,0.132,0.037,1
"ANKRA2",0.493671442746161,1.53129378070219,0.215,0.093,1
"UTP14A",0.495179604365556,4.44954922990915,0.107,0.053,1
"GLUD1",0.496291841720602,9.53419169827511,0.306,0.203,1
"AK2",0.496373852373074,1.1773562847641,0.405,0.403,1
"TMEM219",0.497487515900488,3.00894575375233,0.413,0.417,1
"MYL6",0.497616555580189,0.808610987778671,0.446,0.436,1
"C7orf55.LUC7L2",0.499483698135955,1.29042262098649,0.273,0.164,1
"IER5",0.499636521214659,1.46860105842467,0.215,0.093,1
"RHNO1",0.500895326738546,0.563875687780302,0.132,0.083,1
"MAP2K3",0.501814022755488,0.350038175728764,0.38,0.302,1
"WASL",0.502603865796217,1.73625679017984,0.331,0.243,1
"ZNF75D",0.502898748100232,13.7671104661201,0.14,0.029,1
"ETFA",0.503689497819113,1.00081625531882,0.256,0.213,1
"POLR2M",0.504788185087971,18.6667034324783,0.14,0.103,1
"RAB9A",0.507261885746341,8.65593156842396,0.264,0.149,1
"TCF20",0.51222832130897,2.49395660822392,0.157,0.121,1
"MAP3K7",0.512859842902512,0.272859274210568,0.215,0.103,1
"LRRC58",0.513909304542867,5.98939139228515,0.19,0.159,1
"DHFRL1",0.51488821353834,6.86057652244691,0.116,0.066,1
"AP3M2",0.51533023439907,0.745084919154053,0.107,0.06,1
"DDX24",0.515425838924807,4.41910420828258,0.397,0.408,1
"TRPV6",0.517064374341701,9.21526249098608,0.19,0.04,1
"DHX38",0.517567243676399,1.16308706839167,0.182,0.16,1
"GABARAPL1",0.518034423072139,1.89549748048194,0.43,0.379,1
"LCMT1",0.518322018474776,0.435279938018332,0.314,0.236,1
"MRFAP1",0.520337533530874,0.614822924536262,0.455,0.454,1
"FBXO32",0.522778310472849,7.53591895301043,0.107,0.067,1
"SLC35A2",0.522874621621662,2.23936631032647,0.19,0.17,1
"CCDC127",0.523440619058853,2.06523777841379,0.182,0.1,1
"SDHC",0.523850266430351,1.87156632932935,0.38,0.42,1
"MFN2",0.524718280834817,2.18716384226162,0.223,0.171,1
"USP12",0.525224964192149,2.19843236731375,0.207,0.128,1
"EBP",0.525864709035495,3.97461612524053,0.264,0.149,1
"IRF3",0.527242112839435,13.2971094261085,0.248,0.195,1
"SRSF5",0.529832729198191,1.1694426588213,0.438,0.412,1
"CTDSP1",0.532502698638466,3.42064325356416,0.281,0.203,1
"CPSF7",0.533061825597545,15.001644895009,0.273,0.188,1
"ULK1",0.535045465851252,2.17608070636136,0.215,0.16,1
"ST6GALNAC4",0.535764386795325,0.313230009769121,0.231,0.156,1
"RALB",0.537032820870274,1.70035424737404,0.19,0.099,1
"SCO1",0.537069433246933,0.59995062876046,0.165,0.114,1
"PSMD9",0.53930512866289,0.63108290247374,0.372,0.279,1
"SMIM13",0.541128879947957,3.54846496344672,0.107,0.054,1
"ITCH",0.547542347930775,1.32332214785012,0.149,0.063,1
"CFL2",0.548170962952862,4.05480661209191,0.223,0.142,1
"MPV17L2",0.551171006326453,0.559319076561538,0.157,0.052,1
"PURA",0.551430653419315,3.42214884994666,0.413,0.351,1
"KIAA1217",0.555332471742235,14.8445236867712,0.14,0.06,1
"FIP1L1",0.555766840750034,1.23096535510497,0.256,0.159,1
"DEGS1",0.555965464353673,3.77091188359228,0.198,0.185,1
"RALGPS2",0.558351636109115,0.539299517785429,0.107,0.062,1
"UNC50",0.558563152967116,3.40957479572816,0.198,0.139,1
"GPR108",0.559446963777763,3.46993927231071,0.331,0.25,1
"ATP6V1A",0.562901539030477,10.3323175255546,0.372,0.353,1
"DENR",0.562988969754929,0.665087352672354,0.306,0.232,1
"PRKCD",0.566591873222015,1.42142283453869,0.215,0.118,1
"TMEM184A",0.566754764016147,3.92325290462525,0.19,0.084,1
"CDC6",0.566930209421289,2.55072908639401,0.116,0.006,1
"FOXRED1",0.568422559467759,2.31202102450753,0.124,0.081,1
"AGR3",0.57021836499706,40.5502415346152,0.157,0.003,1
"RARRES3",0.572797482398468,46.8333032950721,0.124,0.06,1
"ERBB2",0.575293775086933,1.78503736383907,0.165,0.051,1
"PPP2R5C",0.578642800499074,2.80803068648692,0.306,0.255,1
"HYI",0.581341278769009,3.8870448597838,0.331,0.233,1
"PTER",0.583410276565173,0.881417097262652,0.165,0.087,1
"JTB",0.585928154300664,0.492998157570395,0.455,0.426,1
"REPS1",0.588349016397423,3.85004385916527,0.132,0.087,1
"KANSL3",0.591004517370783,9.14855293746608,0.165,0.098,1
"EXOC5",0.592794972902753,1.61258239228223,0.281,0.194,1
"CCDC64B",0.593422216246048,7.07867951343357,0.215,0.072,1
"RABGEF1",0.594280370309589,5.30276484818974,0.116,0.055,1
"SUN2",0.59476734112665,0.46418185691186,0.372,0.305,1
"DXO",0.597281947811425,1.39438157989009,0.132,0.093,1
"FNIP1",0.598528210335018,1.28623465025297,0.223,0.157,1
"NAGK",0.599363994050964,2.01565541517557,0.24,0.204,1
"PRDM4",0.600367629535754,2.17475024879343,0.182,0.122,1
"MAPK14",0.601333380831711,1.94288463814157,0.174,0.12,1
"B3GALT4",0.604880452752078,1.79112283207973,0.116,0.078,1
"TMEM242",0.606457062617193,1.6532505694642,0.165,0.124,1
"TRIM29",0.609615776288775,139.981340928467,0.116,0.002,1
"UBALD1",0.609758352470762,4.138607779843,0.248,0.168,1
"CAPN7",0.609965757075366,4.21544470184095,0.132,0.095,1
"GTF2H1",0.610186159643972,4.42077043384524,0.149,0.092,1
"SETD8",0.612015568070735,2.16631754356493,0.149,0.084,1
"BAG5",0.615317206561351,0.579451410653238,0.231,0.133,1
"ZMYND19",0.615642592690494,1.6995378513275,0.14,0.069,1
"AMZ2P1",0.618757102870314,17.0866082884591,0.182,0.088,1
"KMT2E",0.618822336778123,1.67805311401465,0.347,0.304,1
"PPP1R35",0.61969671317712,3.95422086530922,0.256,0.174,1
"RPL4",0.619970889628112,0.255153114929917,0.446,0.404,1
"APCDD1",0.623736242952532,71.1290443635013,0.157,0.021,1
"ARMCX1",0.623932627778768,3.828496808982,0.132,0.095,1
"AGR2",0.624338569666765,290.222407640496,0.174,0.003,1
"TSC22D4",0.624574334821833,6.67228679123795,0.298,0.204,1
"SAT2",0.624783934910583,1.46900060687926,0.405,0.346,1
"AUTS2",0.626619206991715,13.1108875637013,0.124,0.043,1
"RBBP4",0.628929698042501,0.340916580729863,0.273,0.243,1
"LYSMD3",0.630033713139572,0.771417086819628,0.198,0.106,1
"AAK1",0.63057288101337,0.38414922057827,0.281,0.241,1
"PWWP2A",0.631572828571687,0.345107930407739,0.149,0.109,1
"CEBPZ",0.633403428912474,0.38261044781713,0.215,0.181,1
"SCRIB",0.634009733370565,1.14812907398442,0.198,0.118,1
"UNC119B",0.634233865771709,2.05883498409929,0.215,0.175,1
"HLCS",0.635091146897177,3.07850813312245,0.132,0.081,1
"ZDHHC12",0.635289051864666,1.0270880808941,0.198,0.141,1
"MTOR",0.635421001579905,3.5140434241018,0.149,0.083,1
"ALDH6A1",0.638445828662554,2.34809718422951,0.116,0.055,1
"RNH1",0.640112723687803,0.339051283584491,0.446,0.396,1
"ZNF384",0.640337756483899,0.529818648045217,0.198,0.109,1
"AP3S2",0.642974470489178,0.491061950079711,0.165,0.107,1
"RDH11",0.643544808238443,4.83959745178509,0.322,0.282,1
"DHRS7B",0.644500255500649,1.51888911738098,0.19,0.122,1
"SPRED2",0.644566627259749,3.57379356809422,0.157,0.07,1
"MAFG",0.64520395059101,2.89249627567836,0.339,0.261,1
"NAA50",0.645735249494529,10.4769004301466,0.355,0.265,1
"CEP170B",0.650285216196467,10.4052574303394,0.231,0.148,1
"KDM7A",0.650351832516388,4.99671877037356,0.207,0.098,1
"HNRNPA2B1",0.653125589345854,0.862826885823359,0.421,0.423,1
"IP6K2",0.655209052497831,1.55273922928827,0.339,0.271,1
"FARSB",0.655369429485197,2.9118132924978,0.273,0.196,1
"SFTA2",0.657014218061081,20.9681825340284,0.132,0.01,1
"B2M",0.658232175891026,1.91534863239192,0.537,0.416,1
"ARFGEF2",0.658352674977639,2.82203177869646,0.182,0.138,1
"H3F3A",0.662898174662452,1.62554669485971,0.512,0.453,1
"ZNF146",0.66320701682985,11.6451092770354,0.207,0.104,1
"NFATC3",0.664402666427225,3.45990714520532,0.182,0.112,1
"RGS7",0.66693111446555,2.27549078821688,0.132,0.081,1
"OSBPL2",0.667402255680919,0.453030644714329,0.223,0.124,1
"SLC20A1",0.668021667814186,4.33588158832402,0.124,0.066,1
"GBP3",0.674741888320499,0.367817762825929,0.14,0.03,1
"SLC22A5",0.674741888779534,2.3024598647974,0.116,0.047,1
"RPL14",0.675959185868007,1.20351546101799,0.405,0.374,1
"CUL4A",0.679453433201506,1.34847574808147,0.248,0.185,1
"TIMM10B",0.680592588935732,3.55794614453822,0.273,0.196,1
"ALDH2",0.685428505327356,0.866414423082063,0.256,0.145,1
"SRRM1",0.685863831836653,2.36156365990251,0.339,0.276,1
"ATXN7L3",0.688042016327686,0.673172746162269,0.223,0.198,1
"DVL3",0.690836601077055,1.00664640020644,0.231,0.188,1
"BTF3L4",0.691696275194507,2.98399002648645,0.347,0.285,1
"CCDC68",0.693252879502833,10.4148884338583,0.124,0.012,1
"GALNT1",0.694551045450842,1.85120718183421,0.248,0.167,1
"MAT2A",0.694851802940438,5.86863871453479,0.364,0.34,1
"PRDX5",0.695521840820312,0.604392862894736,0.455,0.415,1
"TMEM98",0.695658607843378,11.9367721061449,0.198,0.107,1
"CXCL17",0.696082661450357,27.7194210419035,0.182,0.064,1
"WASH6P",0.696246840133313,4.95501702930309,0.339,0.267,1
"NET1",0.696712079645128,2.05406001478086,0.207,0.105,1
"CYB5R1",0.697122683118953,3.24898299740711,0.289,0.243,1
"C5orf51",0.69761552006747,4.97142119273932,0.116,0.051,1
"XRN2",0.69779352257521,0.334361667347174,0.207,0.158,1
"DNAL4",0.702646992774873,1.70726411433914,0.215,0.148,1
"SLC22A3",0.702907833115715,18.2568986261919,0.132,0.007,1
"SLC25A42",0.703017672784407,0.446506078814803,0.107,0.065,1
"FASTK",0.703649368619851,0.354387034440513,0.314,0.279,1
"EGLN3",0.704597288495309,25.5423012101644,0.174,0.023,1
"GOLGA8B",0.706535775544734,1.73301532167173,0.124,0.067,1
"ADNP",0.70748509282284,2.78778571652517,0.215,0.152,1
"DGKA",0.709109613436858,6.22234606529363,0.149,0.067,1
"DERL3",0.709219797801195,25.0235311087558,0.124,0.027,1
"FUBP1",0.714198200469635,1.61394769145579,0.331,0.286,1
"VSIG2",0.714501985879965,47.6300563759925,0.116,0.001,1
"GCN1",0.715095888318583,6.86607873483293,0.264,0.188,1
"FAT1",0.715289287196701,16.2193205934675,0.165,0.097,1
"DHX36",0.718206310774533,0.266214024405246,0.289,0.248,1
"DDX10",0.719036546149808,7.42269015148446,0.14,0.088,1
"ARID1A",0.720310223510134,3.88849146808039,0.38,0.305,1
"RBMX",0.722651930101246,0.431303402199704,0.372,0.325,1
"PAICS",0.723012422778818,0.737411470152896,0.256,0.202,1
"DNAJC16",0.726606839896816,3.40492942777319,0.132,0.079,1
"TTC9",0.72899720236023,3.84294293830311,0.157,0.064,1
"PHACTR2",0.731947091047817,1.7366523121902,0.207,0.146,1
"PVRL4",0.732601612518677,47.4917738535231,0.124,0.051,1
"CS",0.733618601316858,6.88226402553173,0.421,0.353,1
"TOR1AIP1",0.733883370965207,0.445299534835103,0.24,0.165,1
